Entry,Exp_Rate_Constant k1 (M-1s-1),Substrate SMILES,Nucleophile SMILES,Product SMILES,Reaction SMILES,Temp (K),Activation Free Energy (kcalmol-1),Reference,Year,Title,Authors,DOI,Book_Page,Table,Nucleophile,Leaving Group,Solvent,logk,Entry IDs of Duplicates,Model_Flag
398,0.042,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,COc1ccc(N)cc1,COc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.COc1ccc(N)cc1>>COc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,298,19.3,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,4-methoxyaniline,Cl,Methanol,-1.38,405,modelled
399,0.0113,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Cc1ccc(N)cc1,Cc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Cc1ccc(N)cc1>>Cc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,298,20.08,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,4-methylaniline,Cl,Methanol,-1.95,406,modelled
400,0.000286,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Nc1ccc(Cl)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccc(Cl)cc2)c(C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccc(Cl)cc2)c(C(F)(F)F)c1,298,22.25,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,4-chloroaniline,Cl,Methanol,-3.54,407,modelled
401,0.00158,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,COc1cccc(N)c1,COc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.COc1cccc(N)c1>>COc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,298,21.24,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,3-methoxyaniline,Cl,Methanol,-2.8,408,modelled
402,0.00308,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Cc1cccc(N)c1,Cc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Cc1cccc(N)c1>>Cc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,298,20.85,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,3-methylaniline,Cl,Methanol,-2.51,409,modelled
403,0.00007,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Nc1cccc(Cl)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cccc(Cl)c2)c(C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Nc1cccc(Cl)c1>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cccc(Cl)c2)c(C(F)(F)F)c1,298,23.08,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,3-chloroaniline,Cl,Methanol,-4.15,410,modelled
404,0.000395,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Nc1ccccc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccccc2)c(C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Nc1ccccc1>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccccc2)c(C(F)(F)F)c1,298,22.06,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,Aniline,Cl,Acetonitrile,-3.4,397,modelled
405,0.0106,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,COc1ccc(N)cc1,COc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.COc1ccc(N)cc1>>COc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,298,20.11,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,4-methoxyaniline,Cl,Acetonitrile,-1.97,398,modelled
406,0.00000248,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Cc1ccc(N)cc1,Cc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Cc1ccc(N)cc1>>Cc1ccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)cc1,298,25.06,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,4-methylaniline,Cl,Acetonitrile,-5.61,399,modelled
407,0.00004,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Nc1ccc(Cl)cc1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccc(Cl)cc2)c(C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2ccc(Cl)cc2)c(C(F)(F)F)c1,298,23.41,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,4-chloroaniline,Cl,Acetonitrile,-4.4,400,modelled
408,0.000192,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,COc1cccc(N)c1,COc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.COc1cccc(N)c1>>COc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,298,22.49,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,3-methoxyaniline,Cl,Acetonitrile,-3.72,401,modelled
409,0.00063,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Cc1cccc(N)c1,Cc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Cc1cccc(N)c1>>Cc1cccc(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2C(F)(F)F)c1,298,21.78,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,3-methylaniline,Cl,Acetonitrile,-3.2,402,modelled
410,0.000007,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1,Nc1cccc(Cl)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cccc(Cl)c2)c(C(F)(F)F)c1,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(C(F)(F)F)c1.Nc1cccc(Cl)c1>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cccc(Cl)c2)c(C(F)(F)F)c1,298,24.45,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table3,3-chloroaniline,Cl,Acetonitrile,-5.15,403,modelled
411,0.0049,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Nc1ccccc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccccc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Nc1ccccc1>>O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccccc1,298,20.57,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,Aniline,Cl,Acetonitrile,-2.31,418,modelled
412,0.078,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,COc1ccc(N)cc1,COc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.COc1ccc(N)cc1>>COc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,298,18.93,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,4-methoxyaniline,Cl,Acetonitrile,-1.11,419,modelled
413,0.0278,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Cc1ccc(N)cc1,Cc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Cc1ccc(N)cc1>>Cc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,298,19.54,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,4-methylaniline,Cl,Acetonitrile,-1.56,420,modelled
414,0.00077,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Nc1ccc(Cl)cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccc(Cl)cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccc(Cl)cc1,298,21.67,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,4-chloroaniline,Cl,Acetonitrile,-3.11,421,modelled
415,0.00224,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,COc1cccc(N)c1,COc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.COc1cccc(N)c1>>COc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,298,21.03,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,3-methoxyaniline,Cl,Acetonitrile,-2.65,422,modelled
416,0.0072,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Cc1cccc(N)c1,Cc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Cc1cccc(N)c1>>Cc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,298,20.34,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,3-methylaniline,Cl,Acetonitrile,-2.14,423,modelled
417,0.00014,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Nc1cccc(Cl)c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1cccc(Cl)c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Nc1cccc(Cl)c1>>O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1cccc(Cl)c1,298,22.67,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,3-chloroaniline,Cl,Acetonitrile,-3.85,424,modelled
418,0.00394,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Nc1ccccc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccccc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Nc1ccccc1>>O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccccc1,298,20.7,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,Aniline,Cl,Toluene,-2.4,411,modelled
419,0.067,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,COc1ccc(N)cc1,COc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.COc1ccc(N)cc1>>COc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,298,19.02,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,4-methoxyaniline,Cl,Toluene,-1.17,412,modelled
420,0.0184,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Cc1ccc(N)cc1,Cc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Cc1ccc(N)cc1>>Cc1ccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1,298,19.79,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,4-methylaniline,Cl,Toluene,-1.74,413,modelled
421,0.000523,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Nc1ccc(Cl)cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccc(Cl)cc1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Nc1ccc(Cl)cc1>>O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccc(Cl)cc1,298,21.89,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,4-chloroaniline,Cl,Toluene,-3.28,414,modelled
422,0.00204,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,COc1cccc(N)c1,COc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.COc1cccc(N)c1>>COc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,298,21.09,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,3-methoxyaniline,Cl,Toluene,-2.69,415,modelled
423,0.00398,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Cc1cccc(N)c1,Cc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Cc1cccc(N)c1>>Cc1cccc(Nc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c1,298,20.69,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,3-methylaniline,Cl,Toluene,-2.4,416,modelled
424,0.000076,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,Nc1cccc(Cl)c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1cccc(Cl)c1,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Nc1cccc(Cl)c1>>O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1cccc(Cl)c1,298,23.03,"Int J Chem Kinet., 2009; 41,777–786",2009,"Solvent and substituent effects on the reaction of 2- and 4-chloro-3,5-dinitrobenzotrifluorides with substituted anilines","Asghar, Basim H. M.;Fathalla, Magda F.;Hamed, Ezzat A.",https://doi.org/10.1002/kin.20455,,Table4,3-chloroaniline,Cl,Toluene,-4.12,417,modelled
425,0.025,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,C[O-],COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.C[O-]>>COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],298,19.61,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table1,Methoxide,Cl,Methanol,-1.6,89,modelled
426,0.00265,CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,C[O-],COc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-],CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1.C[O-]>>COc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-],298,20.93,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table1,Methoxide,Cl,Methanol,-2.58,,modelled
427,0.000823,C[N+](C)(C)c1ccc(Cl)c([N+](=O)[O-])c1,C[O-],COc1ccc([N+](C)(C)C)cc1[N+](=O)[O-],C[N+](C)(C)c1ccc(Cl)c([N+](=O)[O-])c1.C[O-]>>COc1ccc([N+](C)(C)C)cc1[N+](=O)[O-],298,21.63,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table1,Methoxide,Cl,Methanol,-3.08,,modelled
428,0.000311,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,C[O-],COc1ccc(C(C)=O)cc1[N+](=O)[O-],CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1.C[O-]>>COc1ccc(C(C)=O)cc1[N+](=O)[O-],298,22.2,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table1,Methoxide,Cl,Methanol,-3.51,92,modelled
429,0.00000175,O=[N+]([O-])c1cc(Cl)ccc1Cl,C[O-],COc1ccc(Cl)cc1[N+](=O)[O-],O=[N+]([O-])c1cc(Cl)ccc1Cl.C[O-]>>COc1ccc(Cl)cc1[N+](=O)[O-],298,25.27,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table1,Methoxide,Cl,Methanol,-5.76,,modelled
430,0.00000015,O=[N+]([O-])c1ccccc1Cl,C[O-],COc1ccccc1[N+](=O)[O-],O=[N+]([O-])c1ccccc1Cl.C[O-]>>COc1ccccc1[N+](=O)[O-],298,26.72,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table1,Methoxide,Cl,Methanol,-6.82,88,modelled
431,0.00000645,O=[N+]([O-])c1ccc(Br)cc1,C1CCNCC1,O=[N+]([O-])c1ccc(N2CCCCC2)cc1,O=[N+]([O-])c1ccc(Br)cc1.C1CCNCC1>>O=[N+]([O-])c1ccc(N2CCCCC2)cc1,363,29.98,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table2,Piperidine,Br,Benzene,-5.19,"226, 232, 238, 244, 250, 256, 262, 268",modelled
432,0.00000034,CS(=O)(=O)c1ccc(Br)cc1,C1CCNCC1,CS(=O)(=O)c1ccc(N2CCCCC2)cc1,CS(=O)(=O)c1ccc(Br)cc1.C1CCNCC1>>CS(=O)(=O)c1ccc(N2CCCCC2)cc1,363,32.1,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table2,Piperidine,Br,Benzene,-6.47,,modelled
433,0.000000198,N#Cc1ccc(Br)cc1,C1CCNCC1,N#Cc1ccc(N2CCCCC2)cc1,N#Cc1ccc(Br)cc1.C1CCNCC1>>N#Cc1ccc(N2CCCCC2)cc1,363,32.49,"J. Am. Chem. Soc., 1953, 75, 642-645",1953,Comparative Activation of Nucleophilic Substitution in 4-Substituted-2-nitrochlorobenzenes1,"Bunnett, J. F.;Draper, Franklin;Ryason, P. R.;Noble, Paul;Tonkyn, R. G.;Zahler, R. E.",https://doi.org/10.1021/ja01099a036,,Table2,Piperidine,Br,Benzene,-6.7,,modelled
